,,
Distribution of Population by Land Area ,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,
"Population, Land area, Sub-county, County, Kenya",,
,,
name,Year,total
Mau Fores t*,Land Area (Sq. Km),542.3
Mau Fores t*,Population,0
Mau Forest*,Land Area (Sq. Km),752.9
Mau Forest*,Population,32
Mbeere North,Land Area (Sq. Km),783.6
Mbeere North,Population,108881
Mbeere South,Land Area (Sq. Km),1312.1
Mbeere South,Population,163476
Mbooni Eas t,Land Area (Sq. Km),686.5
Mbooni Eas t,Population,97756
Mbooni Wes t,Land Area (Sq. Km),270.7
Mbooni Wes t,Population,102594
Merti ,Land Area (Sq. Km),12757.3
Merti ,Population,47206
Meru ,Land Area (Sq. Km),7006.3
Meru ,Population,1545714
Meru Central,Land Area (Sq. Km),381.8
Meru Central,Population,133818
Meru National Park*,Land Area (Sq. Km),868.1
Meru National Park*,Population,385
Meru South,Land Area (Sq. Km),138.8
Meru South,Population,91080
Migori,Land Area (Sq. Km),2613.5
Migori,Population,1116436
Migwani,Land Area (Sq. Km),634.5
Migwani,Population,79255
Mirangine,Land Area (Sq. Km),245.6
Mirangine,Population,67214
Mogotio,Land Area (Sq. Km),1375.3
Mogotio,Population,91104
Moiben,Land Area (Sq. Km),769.8
Moiben,Population,181338
Molo ,Land Area (Sq. Km),483.2
Molo ,Population,156732
Mombasa,Land Area (Sq. Km),219.9
Mombasa,Population,1208333
Moyale,Land Area (Sq. Km),3395.5
Moyale,Population,108949
Ms am bweni,Land Area (Sq. Km),411.7
Ms am bweni,Population,177690
Mt Elgon,Land Area (Sq. Km),126.5
Mt Elgon,Population,78873
Mt Elgon Fores t*,Land Area (Sq. Km),605.8
Mt Elgon Fores t*,Population,3621
Mt Kenya Fores t*,Land Area (Sq. Km),1059.9
Mt Kenya Fores t*,Land Area (Sq. Km),343
Mt Kenya Fores t*,Land Area (Sq. Km),611.4
Mt Kenya Fores t*,Land Area (Sq. Km),360.1
Mt Kenya Fores t*,Population,70
Mt Kenya Fores t*,Population,398
Mt Kenya Fores t*,Population,463
Mt Kenya Fores t*,Population,188
Mt Kenya Forest*,Land Area (Sq. Km),203
Mt Kenya Forest*,Population,22
Muhoroni,Land Area (Sq. Km),657.5
Muhoroni,Population,154116
Mukaa,Land Area (Sq. Km),803.7
Mukaa,Population,107549
Mukurwe-ini,Land Area (Sq. Km),179.1
Mukurwe-ini,Population,89137
Mum ias Eas t,Land Area (Sq. Km),150.2
Mum ias Eas t,Population,116851
Mum ias Wes t,Land Area (Sq. Km),163.3
Mum ias Wes t,Population,115354
Mum oni,Land Area (Sq. Km),611.4
Mum oni,Population,29344
Murang'a,Land Area (Sq. Km),2524.2
Murang'a,Population,1056640
Murang'a Eas t,Land Area (Sq. Km),240.8
Murang'a Eas t,Population,110311
Murang'a South ,Land Area (Sq. Km),456.9
Murang'a South ,Population,184824
Mutitu ,Land Area (Sq. Km),5359.8
Mutitu ,Population,55287
Mutitu North,Land Area (Sq. Km),548.3
Mutitu North,Population,21215
Mutom o,Land Area (Sq. Km),2202.9
Mutom o,Population,113356
Mvita,Land Area (Sq. Km),14.6
Mvita,Population,154171
Mwala,Land Area (Sq. Km),1020.3
Mwala,Population,181896
Mwatate,Land Area (Sq. Km),2722.6
Mwatate,Population,81659
Mwea Eas t,Land Area (Sq. Km),303
Mwea Eas t,Population,132554
Mwea Wes t,Land Area (Sq. Km),239.4
Mwea Wes t,Population,104828
Mwingi Central,Land Area (Sq. Km),1146.4
Mwingi Central,Population,108713
Mwingi Eas t,Land Area (Sq. Km),3418.5
Mwingi Eas t,Population,85139
Nairobi City,Land Area (Sq. Km),703.9
Nairobi City,Population,4397073
